LINEAR PROBING HASH TABLE

Index	Value
0	35520 
1	13920 
2	11640 
3	27843 
4	44044 
5	16803 
6	29766 
7	37326 
8	7665 
9	38289 
10	1909 
11	34931 
12	15372 
13	27364 
14	23654 
15	15851 
16	33688 
17	30737 
18	15942 
19	23659 
20	21020 
21	41390 
22	45018 
23	143 
24	8006 
25	40683 
26	24146 
27	17767 
28	18915 
29	13757 
30	13350 
31	44790 
32	16351 
33	28473 
34	21754 
35	49715 
36	19595 
37	11917 
38	40957 
39	3997 
40	13960 
41	33881 
42	1122 
43	32803 
44	16244 
45	10965 
46	27765 
47	27874 
48	47 
49	39222 
50	37409 
51	28011 
52	37252 
53	43133 
54	5332 
55	9894 
56	28256 
57	44576 
58	46229 
59	12899 
60	34380 
61	13261 
62	41222 
63	8887 
64	4024 
65	45135 
66	27906 
67	13266 
68	48308 
69	18669 
70	11950 
71	21070 
72	21712 
73	25753 
74	45554 
75	24915 
76	38236 
77	11236 
78	3198 
79	49399 
80	24796 
81	81 
82	11721 
83	43041 
84	44475 
85	14362 
86	38006 
87	25760 
88	37168 
89	11009 
90	29490 
91	7411 
92	38130 
93	41733 
94	8493 
95	44855 
96	4416 
97	31776 
98	46778 
99	19178 
100	19898 
101	36341 
102	3821 
103	8143 
104	36343 
105	31544 
106	27106 
107	34185 
108	13905 
109	19429 
110	7310 
111	31188 
112	14512 
113	48713 
114	40674 
115	17993 
116	12596 
117	14157 
118	18478 
119	22919 


 Slots used:		120
 Collisions occured:	864 
 Values not stored:	0
 Load factor:		1.0





My Algorithm:
LINEAR PROBING HASH TABLE

Index	Value
0	8887 
1	45135 
2	21712 
3	32803 
4	16803 
5	13905 
6	27906 
7	38006 
8	48308 
9	11009 
10	7310 
11	28011 
12	14512 
13	48713 
14	7411 
15	24915 
16	49715 
17	4416 
18	1909 
19	22919 
20	21020 
21	11721 
22	41222 
23	1122 
24	35520 
25	13920 
26	4024 
27	37326 
28	3821 
29	19429 
30	11917 
31	34931 
32	5332 
33	43133 
34	41733 
35	38130 
36	38236 
37	30737 
38	11236 
39	45018 
40	11640 
41	36341 
42	43041 
43	8143 
44	36343 
45	31544 
46	27843 
47	16244 
48	44044 
49	143 
50	13350 
51	16351 
52	37252 
53	25753 
54	23654 
55	24146 
56	28256 
57	14157 
58	45554 
59	23659 
60	11950 
61	13261 
62	21754 
63	13960 
64	27364 
65	10965 
66	29766 
67	13266 
68	37168 
69	18669 
70	7665 
71	27765 
72	15372 
73	28473 
74	40674 
75	44475 
76	44576 
77	31776 
78	46778 
79	18478 
80	19178 
81	81 
82	33881 
83	40957 
84	27874 
85	34185 
86	47 
87	15851 
88	31188 
89	38289 
90	44790 
91	29490 
92	21070 
93	17993 
94	8493 
95	19595 
96	12596 
97	24796 
98	3198 
99	49399 
100	19898 
101	3997 
102	12899 
103	14362 
104	44855 
105	33688 
106	27106 
107	15942 
108	41390 
109	34380 
110	25760 
111	8006 
112	40683 
113	17767 
114	18915 
115	9894 
116	13757 
117	39222 
118	37409 
119	46229 


 Slots used:		120
 Collisions occured:	1444 
 Values not stored:	0
