LINEAR PROBING HASH TABLE

Index	Value
0	19439 
1	1081 
2	39842 
3	11282 
4	42234 
5	3122 
6	33966 
7	41645 
8	13568 
9	29049 
10	368 
11	33125 
12	42123 
13	34560 
14	31334 
15	6495 
16	12609 
17	27737 
18	22097 
19	49099 
20	43819 
21	33737 
22	1818 
23	29663 
24	29180 
25	2541 
26	39746 
27	3147 
28	13946 
29	10349 
30	47310 
31	45031 
32	44912 
33	32072 
34	46112 
35	3034 
36	37109 
37	20317 
38	42387 
39	41799 
40	33280 
41	6279 
42	26920 
43	3523 
44	35672 
45	23085 
46	17075 
47	36527 
48	15287 
49	15529 
50	10487 
51	33291 
52	14692 
53	48409 
54	20694 
55	11694 
56	11696 
57	26697 
58	26337 
59	6419 
60	10260 
61	24781 
62	29221 
63	11096 
64	25850 
65	21184 
66	14808 
67	45900 
68	38588 
69	1492 
70	21670 
71	4871 
72	11232 
73	11593 
74	49632 
75	21432 
76	28995 
77	24914 
78	40398 
79	26838 
80	20840 
81	49040 
82	35122 
83	26600 
84	25760 
85	7638 
86	3318 
87	37163 
88	2232 
89	13409 
90	35729 
91	10769 
92	38594 
93	14493 
94	49414 
95	32135 
96	18935 
97	31777 
98	29498 
99	3218 
100	12820 
101	35141 
102	28302 
103	2503 
104	45822 
105	40659 
106	25284 
107	1067 
108	25308 
109	27948 
110	21429 
111	29511 
112	26503 
113	27593 
114	17514 
115	9954 
116	19196 
117	36596 
118	38397 
119	44516 


 Slots used:		120
 Collisions occured:	361 
 Values not stored:	30
 Load factor:		1.0





My Algorithm:
LINEAR PROBING HASH TABLE

Index	Value
0	26600 
1	45900 
2	28302 
3	2503 
4	1492 
5	27948 
6	21429 
7	26503 
8	25308 
9	13409 
10	47310 
11	29511 
12	44912 
13	48409 
14	17514 
15	24914 
16	44516 
17	20317 
18	3218 
19	43819 
20	12820 
21	26920 
22	35122 
23	3523 
24	6419 
25	3318 
26	45822 
27	36527 
28	49414 
29	35729 
30	15529 
31	45031 
32	11232 
33	49632 
34	3034 
35	21432 
36	31334 
37	27737 
38	26337 
39	32135 
40	20840 
41	49040 
42	35141 
43	39842 
44	26838 
45	18935 
46	39746 
47	3147 
48	13946 
49	29049 
50	7638 
51	10349 
52	19439 
53	29221 
54	9954 
55	25850 
56	42234 
57	33737 
58	2232 
59	40659 
60	25760 
61	10260 
62	3122 
63	29663 
64	37163 
65	41645 
66	33966 
67	33125 
68	13568 
69	368 
70	21670 
71	4871 
72	32072 
73	35672 
74	10769 
75	17075 
76	1818 
77	31777 
78	14808 
79	6279 
80	33280 
81	1081 
82	24781 
83	11282 
84	21184 
85	23085 
86	29180 
87	15287 
88	10487 
89	38588 
90	42387 
91	33291 
92	14692 
93	11593 
94	20694 
95	11694 
96	19196 
97	26697 
98	29498 
99	40398 
100	22097 
101	41799 
102	36596 
103	38397 
104	27593 
105	49099 
106	6495 
107	11696 
108	14493 
109	37109 
110	28995 
111	11096 
112	46112 
113	38594 
114	25284 
115	42123 
116	1067 
117	2541 
118	34560 
119	12609 


 Slots used:		120
 Collisions occured:	1201 
 Values not stored:	30
 Load factor:		1.0



QUADRATIC PROBING HASH TABLE

Index	Value
0	44516 
1	1081 
2	39842 
3	11282 
4	9954 
5	41645 
6	33966 
7	42123 
8	13568 
9	29049 
10	38594 
11	21429 
12	368 
13	42234 
14	31334 
15	6495 
16	1492 
17	27737 
18	22097 
19	49099 
20	43819 
21	33737 
22	3122 
23	29663 
24	29180 
25	10769 
26	39746 
27	3147 
28	42387 
29	10349 
30	13946 
31	45031 
32	44912 
33	32072 
34	3034 
35	17075 
36	46112 
37	20317 
38	1818 
39	41799 
40	33280 
41	26920 
42	3318 
43	6279 
44	3523 
45	23085 
46	34560 
47	36527 
48	15287 
49	15529 
50	47310 
51	33291 
52	14692 
53	48409 
54	20694 
55	11694 
56	11696 
57	26697 
58	26337 
59	6419 
60	10260 
61	24781 
62	29221 
63	14808 
64	37109 
65	21184 
66	11096 
67	10487 
68	38588 
69	45900 
70	21670 
71	4871 
72	11232 
73	11593 
74	24914 
75	28995 
76	49632 
77	35672 
78	40398 
79	26838 
80	20840 
81	49040 
82	35122 
83	37163 
84	26600 
85	25850 
86	27948 
87	1067 
88	7638 
89	13409 
90	35729 
91	26503 
92	21432 
93	14493 
94	49414 
95	32135 
96	18935 
97	31777 
98	29498 
99	3218 
100	12820 
101	35141 
102	28302 
103	2503 
104	25284 
105	33125 
106	45822 
107	2232 
108	25308 
109	40659 
110	12609 
111	29511 
112	2541 
113	27593 
114	17514 
115	25760 
116	19196 
117	36596 
118	38397 
119	19439 


 Slots used:		120
 Collisions occured:	20324 
 Values not stored:	30
 Load factor:		1.0





My Algorithm:
QUADRATIC PROBING HASH TABLE

Index	Value
0	26600 
1	33125 
2	28302 
3	2503 
4	34560 
5	10769 
6	26503 
7	27948 
8	25308 
9	13409 
10	47310 
11	29511 
12	44912 
13	48409 
14	17514 
15	24914 
16	44516 
17	20317 
18	3218 
19	43819 
20	12820 
21	26920 
22	35122 
23	3523 
24	49414 
25	29221 
26	45822 
27	36527 
28	3318 
29	35729 
30	15529 
31	45031 
32	11232 
33	49632 
34	3034 
35	31334 
36	21432 
37	27737 
38	26337 
39	32135 
40	20840 
41	49040 
42	35141 
43	39842 
44	42234 
45	18935 
46	39746 
47	3147 
48	26838 
49	29049 
50	13946 
51	42387 
52	2232 
53	10349 
54	6419 
55	9954 
56	2541 
57	33737 
58	7638 
59	19439 
60	25760 
61	10260 
62	21429 
63	29663 
64	37163 
65	41645 
66	33966 
67	1067 
68	13568 
69	368 
70	21670 
71	4871 
72	32072 
73	35672 
74	1818 
75	17075 
76	11096 
77	31777 
78	3122 
79	6279 
80	33280 
81	1081 
82	24781 
83	11282 
84	21184 
85	23085 
86	25850 
87	15287 
88	10487 
89	38588 
90	29180 
91	33291 
92	14692 
93	11593 
94	20694 
